"MAE","sample_idx"
0.9960891008377075,360
0.9960864782333374,939
0.9960839748382568,974
0.9960832595825195,24
0.9960830211639404,78
0.9960825443267822,890
0.9960812330245972,320
0.9960808753967285,814
0.9960780143737793,834
0.9960776567459106,918
0.9960757493972778,68
0.9960731267929077,893
0.9960730075836182,13
0.9960724115371704,989
0.9960724115371704,66
0.9960722923278809,378
0.9960720539093018,332
0.9960713386535645,854
0.9960709810256958,874
0.9960709810256958,74
0.9960696697235107,313
0.9960682392120361,975
0.9960676431655884,851
0.9960671663284302,864
0.9960653781890869,45
0.9960652589797974,819
0.9960651397705078,393
0.9960644245147705,58
0.9960631132125854,928
0.9960629940032959,836
0.9960596561431885,950
0.9960561990737915,84
0.9960556030273438,837
0.9960547685623169,995
0.9960534572601318,341
0.9960525035858154,872
0.9960523843765259,879
0.9960507154464722,356
0.9960497617721558,51
0.9960484504699707,16
0.9960464239120483,326
0.9960455894470215,959
0.9960449934005737,866
0.9960442781448364,979
0.9960440397262573,514
0.9960430860519409,26
0.996042013168335,349
0.9960402250289917,929
0.9960399866104126,323
0.9960397481918335,756
0.996038556098938,53
0.996035099029541,886
0.9960347414016724,884
0.9960341453552246,321
0.996033787727356,227
0.9960333108901978,189
0.9960319995880127,917
0.9960314035415649,46
0.9960304498672485,911
0.9960293769836426,314
0.996029257774353,371
0.9960289001464844,261
0.9960269927978516,395
0.996025562286377,785
0.9960243701934814,940
0.9960241317749023,41
0.9960232973098755,622
0.9960227012634277,72
0.9960224628448486,47
0.996017336845398,11
0.9960154294967651,937
0.9960126876831055,120
0.9960125684738159,367
0.9960125684738159,336
0.9960110187530518,89
0.9960106611251831,738
0.9960095882415771,358
0.9960088729858398,42
0.9960086345672607,309
0.9960082769393921,530
0.9960073232650757,633
0.9960048198699951,183
0.9960035085678101,387
0.9960029125213623,173
0.9960014820098877,759
0.9960006475448608,829
0.9959996938705444,382
0.9959994554519653,193
0.9959968328475952,435
0.9959961175918579,523
0.9959961175918579,325
0.9959945678710938,195
0.9959937334060669,848
0.9959934949874878,176
0.9959932565689087,466
0.9959930181503296,463
0.9959917068481445,91
0.9959877729415894,642
0.9959876537322998,843
0.9959875345230103,63
